# Configuration: CONFIG['use_weighted_loss']=True, CONFIG['use_class_balancing']=False, imbalance_ratio=7.69
epoch,train_loss,val_loss,val_accuracy,epoch_time
1,1.009618848278409,0.6715776694041712,75.37358093261719,239.63875269889832
2,0.4450187964098794,0.539424494460777,83.62223815917969,236.14563179016113
3,0.26425616243588074,0.44562480957419787,87.02928924560547,235.2815818786621
4,0.21252076414724191,0.529426105596401,85.6545181274414,235.21001863479614
5,0.1588600997746523,0.4807248940622365,86.96952056884766,235.18180227279663
6,0.13790505399838798,0.5661939824758856,85.4751968383789,234.48606824874878
7,0.13408252558715286,0.5067477306282079,86.96952056884766,234.64892268180847
8,0.09603578274005226,0.41013855790650405,88.2247543334961,234.08614921569824
9,0.09360274941039583,0.4790836901024536,90.13748168945312,234.4518837928772
10,0.0875263369281865,0.5359354569680161,88.40406799316406,233.22712349891663
11,0.08157486958163125,0.5242526749217952,87.8661117553711,234.64301800727844
12,0.10399432814280901,0.39512825895238807,89.83861541748047,234.88391637802124
13,0.06897730847066712,0.43653429713514114,90.85475158691406,234.91683149337769
14,0.06647041253135762,0.43267383619591043,90.25702667236328,234.83295226097107
15,0.08735735386865036,0.5021544584521541,87.98565673828125,234.25057220458984
16,0.08953108015425858,0.5617774393823411,87.56724548339844,234.08504271507263
17,0.08289982988277361,0.44656612047994576,90.4961166381836,233.77916979789734
18,0.07162353533009688,0.4455450066813716,90.4961166381836,234.32246375083923
19,0.08750430895902571,0.4375484809279442,90.3167953491211,235.54308795928955
20,0.060559031594588995,0.45498773234861867,89.77883911132812,236.00840640068054
